naics	susb_statenaics_firms	yr	state
44	680	2001	OK
48	222	2001	OK
51	147	2001	OK
52	310	2001	OK
53	129	2001	OK
54	284	2001	OK
55	290	2001	OK
56	364	2001	OK
61	77	2001	OK
62	584	2001	OK
71	68	2001	OK
72	454	2001	OK
81	284	2001	OK
95	98	2001	OK
99	0	2001	OK
11	64	2001	OR
21	13	2001	OR
22	19	2001	OR
23	235	2001	OR
31	842	2001	OR
42	889	2001	OR
44	840	2001	OR
48	253	2001	OR
51	196	2001	OR
52	355	2001	OR
53	184	2001	OR
54	390	2001	OR
55	342	2001	OR
56	351	2001	OR
61	120	2001	OR
62	476	2001	OR
71	109	2001	OR
72	429	2001	OR
81	249	2001	OR
95	143	2001	OR
99	0	2001	OR
11	13	2001	PA
21	93	2001	PA
22	68	2001	PA
23	765	2001	PA
31	2981	2001	PA
42	1864	2001	PA
44	2105	2001	PA
48	625	2001	PA
51	457	2001	PA
52	791	2001	PA
53	398	2001	PA
54	1297	2001	PA
55	1050	2001	PA
56	1071	2001	PA
61	454	2001	PA
62	1717	2001	PA
71	313	2001	PA
72	1240	2001	PA
81	826	2001	PA
95	369	2001	PA
99	0	2001	PA
11	0	2001	RI
21	1	2001	RI
22	10	2001	RI
23	55	2001	RI
31	334	2001	RI
42	241	2001	RI
44	337	2001	RI
48	64	2001	RI
51	58	2001	RI
52	146	2001	RI
53	67	2001	RI
54	134	2001	RI
55	92	2001	RI
56	155	2001	RI
61	53	2001	RI
62	259	2001	RI
71	38	2001	RI
72	165	2001	RI
81	89	2001	RI
95	21	2001	RI
99	0	2001	RI
11	18	2001	SC
21	17	2001	SC
22	26	2001	SC
23	310	2001	SC
31	1059	2001	SC
42	700	2001	SC
44	859	2001	SC
48	280	2001	SC
51	138	2001	SC
52	290	2001	SC
53	162	2001	SC
54	367	2001	SC
55	297	2001	SC
56	428	2001	SC
61	97	2001	SC
62	451	2001	SC
71	115	2001	SC
72	635	2001	SC
81	303	2001	SC
95	114	2001	SC
99	0	2001	SC
11	5	2001	SD
21	12	2001	SD
22	11	2001	SD
23	51	2001	SD
31	176	2001	SD
42	200	2001	SD
44	301	2001	SD
48	71	2001	SD
51	53	2001	SD
52	120	2001	SD
53	49	2001	SD
54	52	2001	SD
55	78	2001	SD
56	76	2001	SD
61	34	2001	SD
62	190	2001	SD
71	34	2001	SD
72	162	2001	SD
81	67	2001	SD
95	22	2001	SD
99	0	2001	SD
11	6	2001	TN
21	34	2001	TN
22	37	2001	TN
23	494	2001	TN
31	1526	2001	TN
42	1148	2001	TN
44	1115	2001	TN
48	415	2001	TN
51	245	2001	TN
52	499	2001	TN
53	259	2001	TN
54	498	2001	TN
55	516	2001	TN
56	622	2001	TN
61	168	2001	TN
62	699	2001	TN
71	115	2001	TN
72	691	2001	TN
81	454	2001	TN
95	196	2001	TN
99	0	2001	TN
11	36	2001	TX
21	386	2001	TX
22	118	2001	TX
23	1746	2001	TX
31	3229	2001	TX
42	2993	2001	TX
44	2288	2001	TX
48	1037	2001	TX
51	696	2001	TX
52	1239	2001	TX
53	697	2001	TX
54	1958	2001	TX
55	1672	2001	TX
56	1859	2001	TX
61	430	2001	TX
62	1992	2001	TX
71	331	2001	TX
